model,likes,downloads,tags
Meta-Llama-3.1-8B-Instruct-GGUF,243,101717,"gguf, facebook, meta, pytorch, llama, llama-3, text-generation, en, de, fr, it, pt, hi, es, th, base_model:meta-llama/Llama-3.1-8B-Instruct, base_model:quantized:meta-llama/Llama-3.1-8B-Instruct, license:llama3.1, endpoints_compatible, region:us, imatrix, conversational"
Mistral-7B-OpenOrca-GGUF,242,6494,"transformers, gguf, mistral, text-generation, en, dataset:Open-Orca/OpenOrca, arxiv:2306.02707, arxiv:2301.13688, base_model:Open-Orca/Mistral-7B-OpenOrca, base_model:quantized:Open-Orca/Mistral-7B-OpenOrca, license:apache-2.0, region:us"
Biggie-SmoLlm-0.15B-Base,235,1590,"transformers, pytorch, gguf, llama, text-generation, dataset:LDJnr/Capybara, base_model:HuggingFaceTB/SmolLM-135M, base_model:quantized:HuggingFaceTB/SmolLM-135M, license:mit, autotrain_compatible, text-generation-inference, endpoints_compatible, region:us"
Hermes-2-Pro-Mistral-7B-GGUF,232,9278,"gguf, Mistral, instruct, finetune, chatml, DPO, RLHF, gpt4, synthetic data, distillation, function calling, json mode, en, dataset:teknium/OpenHermes-2.5, base_model:mistralai/Mistral-7B-v0.1, base_model:quantized:mistralai/Mistral-7B-v0.1, license:apache-2.0, endpoints_compatible, region:us, conversational"
Meta-Llama-3.1-8B-Instruct-GGUF,225,36936,"gguf, facebook, meta, pytorch, llama, llama-3, text-generation, en, de, fr, it, pt, hi, es, th, base_model:meta-llama/Llama-3.1-8B-Instruct, base_model:quantized:meta-llama/Llama-3.1-8B-Instruct, license:llama3.1, endpoints_compatible, region:us, conversational"
zephyr-7B-beta-GGUF,223,26698,"transformers, gguf, mistral, generated_from_trainer, en, dataset:HuggingFaceH4/ultrachat_200k, dataset:HuggingFaceH4/ultrafeedback_binarized, arxiv:2305.18290, arxiv:2310.16944, base_model:HuggingFaceH4/zephyr-7b-beta, base_model:quantized:HuggingFaceH4/zephyr-7b-beta, license:mit, region:us"
llava-llama-3-8b-v1_1-gguf,218,3531,"gguf, image-to-text, dataset:Lin-Chen/ShareGPT4V, endpoints_compatible, region:us, conversational"
Llama-3.2-8X3B-MOE-Dark-Champion-Instruct-uncensored-abliterated-18.4B-GGUF,217,60992,"gguf, mixture of experts, moe, 8x3B, Llama 3.2 MOE, 128k context, creative, creative writing, fiction writing, plot generation, sub-plot generation, story generation, scene continue, storytelling, fiction story, science fiction, romance, all genres, story, writing, vivid prosing, vivid writing, fiction, roleplaying, bfloat16, swearing, rp, horror, mergekit, llama-3, llama-3.2, text-generation, en, base_model:DavidAU/Llama-3.2-8X3B-MOE-Dark-Champion-Instruct-uncensored-abliterated-18.4B, base_model:quantized:DavidAU/Llama-3.2-8X3B-MOE-Dark-Champion-Instruct-uncensored-abliterated-18.4B, license:apache-2.0, endpoints_compatible, region:us, conversational"
phi-2-GGUF,216,284466,"transformers, gguf, phi-msft, nlp, code, text-generation, en, base_model:microsoft/phi-2, base_model:quantized:microsoft/phi-2, license:other, region:us"
Llama-3-8B-Lexi-Uncensored-GGUF,215,11929,"gguf, license:other, endpoints_compatible, region:us, conversational"
Tifa-DeepsexV2-7b-MGRPO-GGUF-Q4,215,832,"transformers, gguf, incremental-pretraining, sft, reinforcement-learning, roleplay, cot, zh, en, license:apache-2.0, endpoints_compatible, region:us, conversational"
MiniCPM-Llama3-V-2_5-gguf,213,5449,"gguf, llama.cpp, base_model:openbmb/MiniCPM-Llama3-V-2_5, base_model:quantized:openbmb/MiniCPM-Llama3-V-2_5, region:us"
gemma-2-9b-it-GGUF,213,15171,"transformers, gguf, conversational, text-generation, base_model:google/gemma-2-9b-it, base_model:quantized:google/gemma-2-9b-it, license:gemma, endpoints_compatible, region:us"
Tifa-Deepsex-14b-CoT,213,1234,"transformers, gguf, incremental-pretraining, sft, reinforcement-learning, roleplay, cot, sex, SFW, zh, en, license:apache-2.0, endpoints_compatible, region:us, conversational, not-for-all-audiences"
DeepSeek-R1-Distill-Qwen-14B-GGUF,206,103504,"gguf, text-generation, base_model:deepseek-ai/DeepSeek-R1-Distill-Qwen-14B, base_model:quantized:deepseek-ai/DeepSeek-R1-Distill-Qwen-14B, endpoints_compatible, region:us, imatrix, conversational"
deepseek-coder-6.7B-instruct-GGUF,203,23884,"transformers, gguf, deepseek, base_model:deepseek-ai/deepseek-coder-6.7b-instruct, base_model:quantized:deepseek-ai/deepseek-coder-6.7b-instruct, license:other, region:us"
UIGEN-T1-7B-q8_0-GGUF,203,45,"gguf, code, text-generation, en, dataset:smirki/UI_Reasoning_Dataset, base_model:Qwen/Qwen2.5-Coder-7B-Instruct, base_model:quantized:Qwen/Qwen2.5-Coder-7B-Instruct, license:apache-2.0, endpoints_compatible, region:us, conversational"
Llama-2-13B-chat-GGUF,201,9797,"transformers, gguf, llama, facebook, meta, pytorch, llama-2, text-generation, en, arxiv:2307.09288, base_model:meta-llama/Llama-2-13b-chat-hf, base_model:quantized:meta-llama/Llama-2-13b-chat-hf, license:llama2, region:us"
SkyReels-V1-Hunyuan_comfy,199,1971,"gguf, region:us"
Qwen3-30B-A3B-GGUF,199,133318,"transformers, gguf, qwen3_moe, text-generation, qwen3, qwen, unsloth, en, arxiv:2309.00071, base_model:Qwen/Qwen3-30B-A3B, base_model:quantized:Qwen/Qwen3-30B-A3B, license:apache-2.0, autotrain_compatible, endpoints_compatible, region:us, imatrix, conversational"
Llama-2-7B-GGUF,197,13789,"transformers, gguf, llama, facebook, meta, pytorch, llama-2, text-generation, en, arxiv:2307.09288, base_model:meta-llama/Llama-2-7b-hf, base_model:quantized:meta-llama/Llama-2-7b-hf, license:llama2, region:us"
Llama-3.1-8B-Lexi-Uncensored-V2-GGUF,196,8379,"gguf, license:llama3.1, model-index, endpoints_compatible, region:us, conversational"
QwQ-32B-GGUF,196,12081,"gguf, chat, text-generation, en, arxiv:2309.00071, arxiv:2412.15115, base_model:Qwen/QwQ-32B, base_model:quantized:Qwen/QwQ-32B, license:apache-2.0, endpoints_compatible, region:us, conversational"
CausalLM-14B-GGUF,187,14261,"transformers, gguf, llama, llama2, qwen, text-generation, en, zh, dataset:JosephusCheung/GuanacoDataset, dataset:Open-Orca/OpenOrca, dataset:stingning/ultrachat, dataset:meta-math/MetaMathQA, dataset:liuhaotian/LLaVA-Instruct-150K, dataset:jondurbin/airoboros-3.1, dataset:WizardLM/WizardLM_evol_instruct_V2_196k, dataset:RyokoAI/ShareGPT52K, dataset:RyokoAI/Fandom23K, dataset:milashkaarshif/MoeGirlPedia_wikitext_raw_archive, dataset:wikipedia, dataset:wiki_lingua, dataset:fnlp/moss-003-sft-data, dataset:garage-bAInd/Open-Platypus, dataset:LDJnr/Puffin, dataset:openbmb/llava_zh, dataset:BAAI/COIG, dataset:TigerResearch/tigerbot-zhihu-zh-10k, dataset:liwu/MNBVC, dataset:teknium/openhermes, base_model:CausalLM/14B, base_model:quantized:CausalLM/14B, license:wtfpl, region:us"
Wan2.1-I2V-14B-480P-gguf,187,257699,"gguf, video, video-generation, image-to-video, en, zh, base_model:Wan-AI/Wan2.1-I2V-14B-480P, base_model:quantized:Wan-AI/Wan2.1-I2V-14B-480P, license:apache-2.0, region:us"
DeepSeek-V3-0324-GGUF,187,109652,"transformers, gguf, deepseek_v3, text-generation, deepseek, unsloth, custom_code, en, arxiv:2412.19437, base_model:deepseek-ai/DeepSeek-V3-0324, base_model:quantized:deepseek-ai/DeepSeek-V3-0324, license:mit, autotrain_compatible, endpoints_compatible, fp8, region:us, conversational"
stablelm-2-zephyr-1_6b,185,8470,"transformers, safetensors, gguf, stablelm, text-generation, causal-lm, conversational, en, dataset:HuggingFaceH4/ultrachat_200k, dataset:allenai/ultrafeedback_binarized_cleaned, dataset:meta-math/MetaMathQA, dataset:WizardLM/WizardLM_evol_instruct_V2_196k, dataset:openchat/openchat_sharegpt4_dataset, dataset:LDJnr/Capybara, dataset:Intel/orca_dpo_pairs, dataset:hkust-nlp/deita-10k-v0, arxiv:2305.18290, license:other, autotrain_compatible, endpoints_compatible, region:us"
Codestral-22B-v0.1-GGUF,185,2260,"gguf, code, text-generation, base_model:mistralai/Codestral-22B-v0.1, base_model:quantized:mistralai/Codestral-22B-v0.1, license:other, region:us, imatrix"
llava-v1.5-7b-llamafile,183,6278,"gguf, llamafile, GGUF, license:llama2, region:us"
Meta-Llama-3-8B-Instruct-GGUF,183,3285,"gguf, facebook, meta, pytorch, llama, llama-3, text-generation, en, base_model:meta-llama/Meta-Llama-3-8B-Instruct, base_model:quantized:meta-llama/Meta-Llama-3-8B-Instruct, license:llama3, endpoints_compatible, region:us, conversational"
PixelWave_FLUX.1-dev_03,182,5633,"diffusers, safetensors, gguf, license:other, endpoints_compatible, diffusers:FluxPipeline, region:us"
bitnet-b1.58-2B-4T-gguf,175,8972,"transformers, gguf, chat, bitnet, text-generation, large-language-model, en, arxiv:2504.12285, license:mit, endpoints_compatible, region:us, conversational"
stable-code-instruct-3b,174,1967,"transformers, safetensors, gguf, stablelm, text-generation, causal-lm, code, conversational, en, arxiv:2305.18290, license:other, model-index, autotrain_compatible, endpoints_compatible, region:us"
Qwen2-7B-Instruct-GGUF,174,2559,"gguf, chat, text-generation, en, base_model:Qwen/Qwen2-7B-Instruct, base_model:quantized:Qwen/Qwen2-7B-Instruct, license:apache-2.0, endpoints_compatible, region:us, conversational"
Tifa-Deepsex-14b-CoT-Q8,174,1757,"transformers, gguf, incremental-pretraining, sft, reinforcement-learning, roleplay, cot, sex, zh, en, license:apache-2.0, endpoints_compatible, region:us, conversational, not-for-all-audiences"
deepseek-coder-33B-instruct-GGUF,173,13937,"transformers, gguf, deepseek, base_model:deepseek-ai/deepseek-coder-33b-instruct, base_model:quantized:deepseek-ai/deepseek-coder-33b-instruct, license:other, region:us"
Tifa-DeepsexV2-7b-MGRPO-GGUF-Q8,172,4855,"transformers, gguf, incremental-pretraining, sft, reinforcement-learning, roleplay, cot, zh, en, license:apache-2.0, endpoints_compatible, region:us, conversational"
L3-8B-Stheno-v3.2-GGUF-IQ-Imatrix,171,10965,"transformers, gguf, roleplay, llama3, sillytavern, en, base_model:Sao10K/L3-8B-Stheno-v3.2, base_model:quantized:Sao10K/L3-8B-Stheno-v3.2, license:cc-by-nc-4.0, region:us, imatrix, conversational"
phi-4-GGUF,171,10355,"transformers, gguf, phi, phi4, unsloth, nlp, math, code, chat, conversational, text-generation, en, arxiv:2412.08905, base_model:microsoft/phi-4, base_model:quantized:microsoft/phi-4, license:mit, endpoints_compatible, region:us"
Meta-Llama-3-70B-Instruct-GGUF,169,2159,"gguf, facebook, meta, pytorch, llama, llama-3, quantized, 2-bit, 3-bit, 4-bit, 5-bit, 6-bit, 8-bit, 16-bit, GGUF, text-generation, en, region:us, conversational"
gemma-2-27b-it-GGUF,169,5816,"transformers, gguf, text-generation, base_model:google/gemma-2-27b-it, base_model:quantized:google/gemma-2-27b-it, license:gemma, endpoints_compatible, region:us, imatrix, conversational"
Nous-Capybara-34B-GGUF,168,2278,"transformers, gguf, yi, sft, Yi-34B-200K, eng, dataset:LDJnr/LessWrong-Amplify-Instruct, dataset:LDJnr/Pure-Dove, dataset:LDJnr/Verified-Camel, base_model:NousResearch/Nous-Capybara-34B, base_model:quantized:NousResearch/Nous-Capybara-34B, license:mit, region:us"
Qwen2.5-Coder-32B-Instruct-GGUF,167,18753,"transformers, gguf, code, codeqwen, chat, qwen, qwen-coder, text-generation, en, arxiv:2409.12186, arxiv:2407.10671, base_model:Qwen/Qwen2.5-Coder-32B-Instruct, base_model:quantized:Qwen/Qwen2.5-Coder-32B-Instruct, license:apache-2.0, endpoints_compatible, region:us, conversational"
Phind-CodeLlama-34B-v2-GGUF,165,4137,"transformers, gguf, llama, code llama, base_model:Phind/Phind-CodeLlama-34B-v2, base_model:quantized:Phind/Phind-CodeLlama-34B-v2, license:llama2, model-index, region:us"
Llama3-8B-Chinese-Chat-GGUF-8bit,165,1134,"transformers, gguf, llama, text-generation, llama-factory, orpo, en, zh, arxiv:2403.07691, base_model:meta-llama/Meta-Llama-3-8B-Instruct, base_model:quantized:meta-llama/Meta-Llama-3-8B-Instruct, license:llama3, autotrain_compatible, endpoints_compatible, region:us, conversational"
HunyuanVideo-gguf,164,4297,"gguf, text-to-video, base_model:tencent/HunyuanVideo, base_model:quantized:tencent/HunyuanVideo, license:other, region:us"
gemma-3-4b-it-qat-q4_0-gguf,163,7909,"gguf, gemma3, gemma, google, image-text-to-text, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2311.12022, arxiv:2108.07732, arxiv:2107.03374, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2312.11805, base_model:google/gemma-3-4b-it, base_model:quantized:google/gemma-3-4b-it, license:gemma, endpoints_compatible, region:us, conversational"
MiniCPM-V-2_6-gguf,162,17139,"gguf, base_model:openbmb/MiniCPM-V-2_6, base_model:quantized:openbmb/MiniCPM-V-2_6, endpoints_compatible, region:us, conversational"
Hermes-2-Pro-Llama-3-8B-GGUF,160,2601,"gguf, Llama-3, instruct, finetune, chatml, DPO, RLHF, gpt4, synthetic data, distillation, function calling, json mode, en, dataset:teknium/OpenHermes-2.5, base_model:NousResearch/Meta-Llama-3-8B, base_model:quantized:NousResearch/Meta-Llama-3-8B, license:apache-2.0, endpoints_compatible, region:us, conversational"
Qwen2-Audio-7B-GGUF,160,5455,"gguf, audio-text-to-text, chat, audio, GGUF, en, license:apache-2.0, endpoints_compatible, region:us, conversational"
Qwen_QwQ-32B-GGUF,160,4018,"gguf, chat, text-generation, en, base_model:Qwen/QwQ-32B, base_model:quantized:Qwen/QwQ-32B, license:apache-2.0, endpoints_compatible, region:us, imatrix, conversational"
TinyLlama-1.1B-Chat-v1.0-GGUF,158,55825,"transformers, gguf, tinyllama, en, dataset:cerebras/SlimPajama-627B, dataset:bigcode/starcoderdata, dataset:OpenAssistant/oasst_top1_2023-08-25, base_model:TinyLlama/TinyLlama-1.1B-Chat-v1.0, base_model:quantized:TinyLlama/TinyLlama-1.1B-Chat-v1.0, license:apache-2.0, region:us, conversational"
DeepSeek-R1-0528-Qwen3-8B-GGUF,153,212916,"transformers, gguf, qwen3, text-generation, unsloth, deepseek, qwen, arxiv:2501.12948, base_model:deepseek-ai/DeepSeek-R1-0528-Qwen3-8B, base_model:quantized:deepseek-ai/DeepSeek-R1-0528-Qwen3-8B, license:mit, autotrain_compatible, endpoints_compatible, region:us, conversational"
Meta-Llama-3.1-8B-Instruct-abliterated-GGUF,149,6549,"transformers, gguf, abliterated, uncensored, base_model:meta-llama/Llama-3.1-8B-Instruct, base_model:quantized:meta-llama/Llama-3.1-8B-Instruct, license:llama3.1, endpoints_compatible, region:us, conversational"
Wan2.1-T2V-14B-gguf,141,130688,"gguf, text-to-video, base_model:Wan-AI/Wan2.1-T2V-14B, base_model:quantized:Wan-AI/Wan2.1-T2V-14B, license:apache-2.0, region:us"
c4ai-command-r-plus-iMat.GGUF,140,1938,"gguf, text-generation, base_model:CohereLabs/c4ai-command-r-plus, base_model:quantized:CohereLabs/c4ai-command-r-plus, license:cc-by-nc-4.0, endpoints_compatible, region:us, imatrix, conversational"
NSFW-3B,140,13778,"transformers, safetensors, gguf, stablelm, text-generation, not-for-all-audiences, conversational, en, dataset:UnfilteredAI/DAN, autotrain_compatible, endpoints_compatible, region:us, imatrix"
gemma-3-12b-it-qat-q4_0-gguf,140,99734,"gguf, gemma, gemma3, image-text-to-text, arxiv:1905.07830, arxiv:1905.10044, arxiv:1911.11641, arxiv:1904.09728, arxiv:1705.03551, arxiv:1911.01547, arxiv:1907.10641, arxiv:1903.00161, arxiv:2009.03300, arxiv:2304.06364, arxiv:2103.03874, arxiv:2110.14168, arxiv:2311.12022, arxiv:2108.07732, arxiv:2107.03374, arxiv:2210.03057, arxiv:2106.03193, arxiv:1910.11856, arxiv:2502.12404, arxiv:2502.21228, arxiv:2404.16816, arxiv:2104.12756, arxiv:2311.16502, arxiv:2203.10244, arxiv:2404.12390, arxiv:1810.12440, arxiv:1908.02660, arxiv:2312.11805, base_model:google/gemma-3-12b-it, base_model:quantized:google/gemma-3-12b-it, license:gemma, endpoints_compatible, region:us, conversational"
